Communication Skills,Core Branch,Programming Language,Other Technical Skills,Certification Course,Backlog,10th Score (%),12th Score (%),Attendance (%),Company,Eligibility
8,AIML,Kotlin,"DBMS, Android Development, Web development, Machine Learning, Data Analytics",0,0,83.84730677609508,66.41575500024581,74.46361065681239,Company A,0
9,AIML,Java,Android Development,1,0,96.6377201581621,73.58292564832678,97.29801684322572,Company B,1
7,CS,"Python, C++","DBMS, Web development, Data Analytics, Android Development, Machine Learning, DSA",1,1,71.51736376372875,73.40892720854286,85.22433886602437,Company C,0
9,DS,"Python, Java, C++, Kotlin","Data Analytics, DSA",1,1,67.42103901030876,61.681791843037786,97.36621375172025,Company A,0
9,DS,Kotlin,"Web development, Data Analytics, DBMS, Android Development",0,1,86.06719179513708,83.92951039407586,90.28666501650079,Company A,0
6,DS,"Java, C++, Kotlin, Python","Machine Learning, DBMS, DSA, Web development, Android Development, Data Analytics",1,0,88.50405629193573,94.19280211968751,64.1374066659505,Company B,0
7,AIML,"Python, Kotlin","DSA, Machine Learning",0,0,87.52122075807925,75.2629755130207,69.24605470250708,Company A,0
7,AIML,"C++, Python","Data Analytics, Web development, DSA",0,0,72.77267520085496,89.60143779936708,75.76681818334025,Company C,0
7,Cyber Security,"Java, Kotlin, C++, Python","Android Development, DBMS, Web development, Data Analytics",0,1,70.08809608637324,85.1080165440296,66.80427528048304,Company B,0
9,AIML,"C++, Python","DBMS, DSA, Web development",0,0,98.23675199848176,75.02594941972004,79.79646419106642,Company C,0
8,AIML,"Python, Kotlin, Java","DSA, Android Development, Web development, Machine Learning, DBMS, Data Analytics",0,0,96.93198033079719,65.64239197969188,78.85472622805963,Company A,0
7,AIML,"Kotlin, Python, C++","Machine Learning, Data Analytics, DBMS, Android Development",1,1,78.29266439571282,88.3729541110387,98.25036792109525,Company A,0
10,DS,"C++, Python","Web development, Android Development, DBMS, Machine Learning, Data Analytics",0,1,93.84775464617493,94.18260675764961,77.34911531583911,Company B,0
9,DS,"Kotlin, Python, Java","Machine Learning, DSA",0,0,78.09293910537184,87.43417969605967,91.42507217151991,Company C,0
6,AIML,Kotlin,"Data Analytics, DSA, Machine Learning, Android Development, DBMS, Web development",0,0,76.97556072290041,60.71513936139272,97.6764217940592,Company B,0
8,DS,"Java, Python, C++, Kotlin",Machine Learning,1,0,66.27051790397178,68.64931577563965,95.07955323895942,Company C,1
10,Cyber Security,Java,"Machine Learning, DBMS, Android Development, Data Analytics",1,0,77.05624225967891,62.77919939534128,68.34670498046367,Company C,0
10,DS,"C++, Python, Java, Kotlin","Web development, Machine Learning, DBMS, DSA",1,1,81.49667754399228,82.81544398304908,79.84119577014177,Company C,0
6,Cyber Security,"C++, Java","DSA, DBMS, Machine Learning, Android Development, Web development, Data Analytics",1,0,60.90017309714746,90.2591071536165,73.90959129183703,Company A,0
8,CS,Kotlin,"Web development, Data Analytics, DSA, Machine Learning, DBMS, Android Development",1,0,77.76452020701626,64.42316748274638,75.99434780548862,Company A,0
9,AIML,"Kotlin, C++","DBMS, Android Development, Machine Learning",1,1,91.254248735808,93.5335128237354,74.43227304983004,Company B,0
5,DS,"C++, Python","DSA, Web development, Data Analytics, Machine Learning, DBMS",1,0,87.20184225497079,82.22035913581934,93.05436840700017,Company C,0
8,Cyber Security,"Kotlin, Python, Java, C++","Machine Learning, Data Analytics, Android Development",0,0,85.4062795545574,87.598760485669,78.0855622048979,Company B,0
6,CS,"C++, Python, Java, Kotlin","Web development, Machine Learning, Data Analytics",0,1,96.3822171374881,98.85607394434585,80.94777328978753,Company A,1
10,CS,"C++, Java, Kotlin, Python","Data Analytics, Machine Learning, DSA, Web development, Android Development",1,1,60.7212803930092,63.347239529907895,99.29789428188299,Company B,0
9,DS,Java,DSA,0,0,82.28190344768936,96.04896091911158,62.39917088766066,Company C,0
8,DS,"C++, Kotlin, Python","Machine Learning, Android Development, DBMS",0,1,91.49395393638828,65.04410783949638,79.51830559162995,Company C,0
5,CS,"Java, C++, Python, Kotlin","DSA, Android Development, Data Analytics",1,1,81.65341530805068,75.71835226546729,90.96246827784464,Company C,0
5,AIML,"C++, Kotlin, Java, Python","Data Analytics, Web development, DBMS, DSA",0,0,72.95582210321517,94.05754785324457,66.04647832752906,Company C,0
7,AIML,Python,"Android Development, DSA, Machine Learning, Data Analytics, Web development",0,1,65.45002260367912,96.25016946951473,84.46126378459095,Company B,0
7,Cyber Security,"Kotlin, C++, Java, Python","Android Development, Machine Learning",1,0,95.50252287264766,80.25486694180582,69.57859118137867,Company C,0
6,AIML,Java,Data Analytics,0,0,78.83049569550411,83.764185531017,94.6961645289827,Company C,1
8,CS,"Kotlin, Java",Data Analytics,1,0,95.12460787942805,88.32589338394229,73.08398661600317,Company C,1
8,CS,"Python, Java, Kotlin, C++","Android Development, Data Analytics, Web development, DBMS, Machine Learning",1,0,83.43408489732673,93.31034673810856,73.16251267603639,Company A,0
10,CS,"Python, Java, Kotlin, C++","DSA, Android Development, DBMS, Data Analytics, Machine Learning, Web development",0,1,86.96768466460003,64.86044678150665,83.92775514071573,Company C,0
10,AIML,"Java, Python","DBMS, Android Development, DSA, Data Analytics, Machine Learning, Web development",0,0,92.17044617513801,92.4027723291691,67.34251632479635,Company A,0
10,Cyber Security,"Java, Python","DSA, Android Development, Data Analytics, Machine Learning",0,0,86.36622178400538,79.25104602046467,71.39554555612244,Company C,0
7,AIML,"Kotlin, Python","DBMS, DSA, Machine Learning, Android Development",1,0,75.92219362715751,78.02493700432676,76.66527400477646,Company C,0
